,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_affinity,electrons,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,neutrons,pettifor_number,proton_affinity,protons,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,en_Allen,en_Allred_Rochow,en_Cottrell_Sutton,en_Ghosh,en_Gordy,en_Martynov_Batsanov,en_Mulliken,en_Nagle,en_Pauling,en_Sanderson,en_Tardini_Organov,hardness,nvalence,zeff,max_ionenergy,num_oxistates,BulkModulus,ElectronAffinity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,MiracleRadius,NUnfilled,NValence,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,SecondIonizationEnergy,ShearModulus,SpaceGroupNumber,n_ws^third,phi
H,1,25.0,154.0,14.1,1.008,20.28,6.499026705,6.51,,31.0,32.0,,,,8.2e-05,4.50711,0.754195,1,0.904,0.117,,103,217.998,3.75,1,14.01,105,,78.0,0,103,,1,,0.1815,110.00000000000001,120.0,,120.0,319.5,162.0,110.00000000000001,,288.6,13.61,0.0009765625,0.1767766952966369,0.2638,0.03125,3.6876054568155743,6.799217002568,0.6053881942690544,2.2,2.187770766240574,3.04,6.422119502568,1,1.0,13.598434005136,2,,72.8,13.598443,0.06,7.853,-3.331290765,2.365120549,2.979865165,0.0,6.615,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,194.0,1.5,5.2
He,2,120.0,134.0,31.8,4.002602,4.216,1.42,1.47,,28.000000000000004,46.0,,,,0.000164,1.38375,-19.7,2,0.08,,148.5,1,,3.57,4,0.95,112,,122.0,2,1,177.8,2,5.188,0.152,140.0,143.0,,140.0,,153.0,,,236.20000000000002,24.59,0.0008034026465028355,0.1922407910385578,0.442712,0.03695652173913044,6.2851074392567075,12.293693968,1.1306394133057651,,1.0,3.04,22.143693968,2,1.7,54.41776311,1,,0.0,24.587387,,18.098,0.0011354,2.908733088,3.664774046,0.0,12.305,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.41776,,225.0,,
Li,3,145.0,220.00000000000003,13.1,6.94,1118.15,1392.0,1410.0,150.0,128.0,133.0,124.0,,,0.534,164.1125,0.618049,3,148.0,2.89,,12,159.3,3.49,7,553.69,1,123.0,155.0,4,12,,3,3.489,84.8,182.0,212.0,220.00000000000003,181.0,,254.99999999999997,,,245.1,5.392,7.34920006783877e-05,0.0988657478109864,0.105093,0.009774436090225564,2.3220066238062285,2.6958573805,0.18264990313234755,0.98,0.04886792741108169,2.17,2.3868328805,1,1.3,122.4543538,1,11.0,59.6,5.391719,3.0,0.0,-1.86988691,3.213570838,4.048845545,0.0,16.5933333333,152.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,75.64,4.2,229.0,0.98,2.85
Be,4,105.0,219.0,5.0,9.0121831,3243.0,227.0,214.0,114.99999999999999,96.0,102.0,90.0,85.0,,1.85,37.74,-2.4,4,309.0,12.21,,77,324.0,2.29,9,1551.0,75,89.0,112.0,5,77,,4,1.824,201.0,153.0,198.0,190.0,,,223.0,,153.0,274.5,9.323,0.00018742791234140717,0.13826657968874304,0.144986,0.01911764705882353,3.710380842986337,4.6613495,0.37561480338427883,1.57,0.12684726097522822,2.42,5.8613495,2,1.9500000000000002,217.7185766,1,130.0,0.0,9.3227,7.895,0.0,-3.755038695,2.508239481,3.160183721,0.0,7.89,112.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.21114,132.0,194.0,1.67,5.05
B,5,85.0,204.99999999999997,4.6,10.81,3931.0,99.5,99.2,,84.0,85.0,78.0,73.0,,2.34,20.5,0.279723,5,504.5,23.6,,86,565.0,8.73,11,2573.0,81,80.0,98.0,6,86,,5,1.025,27.4,192.0,191.0,180.0,,401.99999999999994,215.0,,192.0,408.3,12.13,0.00035986159169550173,0.17489492643904125,0.184886,0.03058823529411765,4.877958213569827,4.1490095,0.526973930630441,2.04,0.2546273629910441,3.04,4.009148,3,2.6,340.226008,1,320.0,26.7,8.29802,50.2,1.524,-6.67769815417,2.429779429,3.061330249,0.0,7.1725,88.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,25.1548,,166.0,1.75,5.3
C,6,70.0,190.0,5.3,12.011,5100.0,46.6,47.9,77.0,73.0,75.0,67.0,60.0,,2.2,11.3,1.262119,6,,,,87,716.87,3.57,12,3820.0,87,,86.0,6,95,,6,0.711,1.59,170.0,177.0,170.0,170.0,389.83,204.0,177.0,,385.1,15.05,0.0005777777777777778,0.20816659994661327,0.22477600000000003,0.043333333333333335,6.083300009041146,5.630148,0.7073926058302301,2.55,0.427525037037037,3.15,4.9990885,4,3.25,489.993177,3,33.0,153.9,11.2603,117.4,4.496,-9.209713655,2.242692341,2.825615289,0.0,5.64,77.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,24.3833,,194.0,1.77,6.24
N,7,65.0,179.0,17.3,14.007,77.4,24.2,25.7,65.0,71.0,71.0,60.0,54.0,,0.001145,7.4,-1.4,7,,,318.7,88,472.44,4.039,14,63.29,93,,53.0,7,100,342.2,7,,0.026,155.0,166.0,160.0,155.0,366.21000000000004,193.0,164.0,,366.0,18.13,0.0007736560206308273,0.23437059855022074,0.26493,0.054929577464788736,7.306768232262469,7.267065,0.8774979183239392,3.04,0.5774819510384563,3.56,7.967065,5,3.9000000000000004,667.04609,8,,7.0,14.5341,0.355,6.437,-8.21144121,3.091182017,3.894645292,0.0,14.76875,72.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,29.6013,,194.0,1.65,6.86
O,8,60.0,171.0,14.0,15.999,90.19,15.6,16.7,65.0,66.0,63.0,57.0,53.0,,0.0013080000000000001,5.3,1.4611135,8,,,459.6,97,249.229,6.83,16,54.8,99,,,8,101,485.2,8,,0.027,152.0,150.0,155.0,152.0,340.46,182.0,158.0,,350.0,21.36,0.001146384479717813,0.26874192494328497,0.304575,0.07222222222222222,8.496136416042294,6.809027,1.0422177377665125,3.44,0.9416494074114066,3.78,6.0784702500000005,6,4.55,871.40985,1,,141.0,13.61805,0.22,0.0,-4.756791905,2.630893787,3.314718462,0.0,9.105,64.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,35.1211,,12.0,,
F,9,50.0,163.0,17.1,18.998403163,85.01,9.52,10.2,67.0,56.99999999999999,64.0,59.0,53.0,,0.001553,3.74,3.4011897000000006,9,6.54,0.51,315.1,102,79.335,,19,53.53,106,,,10,102,340.1,9,,0.028,147.0,146.0,150.0,147.0,347.2,171.0,146.0,,336.4,24.8,0.00126953125,0.2850438562747845,0.344443,0.08125,9.701807858037888,8.71141,1.2323729180642682,3.98,1.017681322991848,4.0,7.010815150000001,7,5.2,1103.11743,1,,328.0,17.4228,0.255,1.97,-1.6980609575,2.687689729,3.386276865,0.0,9.7075,,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,34.9708,,15.0,,
Ne,10,160.0,156.0,16.8,20.1797,27.1,6.2,6.91,,57.99999999999999,67.0,96.0,,,0.000825,2.6611,,10,1.74,,174.4,2,,4.43,20,48.0,113,,,10,2,198.8,10,1.029,,154.0,158.0,,154.0,,160.0,181.0,,324.3,28.31,0.0013031855647137448,0.2954884648100851,0.38439,0.08731343283582091,10.918388789102538,,1.4432545345333592,,1.0,4.44,,8,5.8500000000000005,1362.1991,1,,0.0,21.56454,0.164,13.088,0.09403567,2.934893568,3.697734186,0.0,12.64,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,40.96296,,225.0,,
